Nama,Gambar-src,Bahan,Cara Buat,Reaksi,Clean_Bahan
Tahu Kentang Telur Kuah Santan,https://img-global.cpcdn.com/recipes/5d50f5006d1cca9a/680x482cq70/tahu-kentang-telur-kuah-santan-foto-resep-utama.jpg,"👉 4 butir telur,1 buah kentang,1/2-1 buah tahu putih besar,2 lembar daun salam,2 lembar daun jeruk,60 ml santan kental (kara),500 ml air (selera, kl suka encer bisa ditambah),Secukupnya garam, gula dan kaldu bubuk,Secukupnya minyak utk menggoreng,👉 Bumbu halus :,10 buah cabe merah keriting (selera),5 buah cabe rawit oren (selera),1 buah tomat merah,7 siung bawang merah,4 siung bawang putih,3 butir kemiri sangrai,Seiris lengkuas","Siapkan dan cuci semua bahan. Haluskan semua bahan bumbu halus (diblender),Potong kotak tahu, lalu goreng sampai berkulit. Angkat, tiriskan. 

Kupas kentang, potong kotak serasi dengan tahu. Goreng matang, angkat, tiriskan.

Telur diceplok, sisihkan,Panaskan 3 sdm minyak, tumis bumbu halus bersama daun jeruk dan salam sampai harum dan matang. Tuangi air dan santan, aduk-aduk supaya tidak pecah,Masukkan telur, tahu, dan kentang, masak hingga mendidih. Tambahkan garam, gula dan kaldu bubuk. Aduk rata, tes rasa sampai sesuai selera. Setelah bumbu meresap, angkat,Siap dihidangkan sebagai teman nasi putih hangat.. aah, yumm! 😋","[{""Reaksi"":""😋\n 5""},{""Reaksi"":""❤️\n 26""},{""Reaksi"":""👏\n 6""},{""Reaksi"":""😋\n 1""},{""Reaksi"":""❤️\n 1""},{""Reaksi"":""👏\n 1""}]","['butir', 'telur', 'kentang', 'putih', 'salam', 'jeruk', 'santan', 'kental', 'kara', 'air', 'kl', 'encer', 'ditambahsecukupnya', 'garam', 'gula', 'kaldu', 'bubuksecukupnya', 'minyak', 'goreng', 'cabe', 'merah', 'keriting', 'cabe', 'rawit', 'oren', 'tomat', 'merah', 'bawang', 'merah', 'bawang', 'putih', 'butir', 'kemiri', 'sangraiseiris', 'lengkuas']"
Paha Kambing Panggang,https://img-global.cpcdn.com/recipes/8967b89ccf3aa183/680x482cq70/paha-kambing-panggang-foto-resep-utama.jpg,"👉 1 paha kambing / 1,2 kg,👉 Bumbu marinasi :,2 sdm margarin, cairkan,4 siung bawang putih, cincang,1 sdt bubuk bawang putih,1/2 sdt merica bubuk,1/2 sdt bubuk kari,1 sdt garam,1/2 sdt rosemary kering,👉 Secukupnya alumunium foil","Siapkan bahan.

Kerat-kerat paha kambing dengan pisau supaya bumbu mudah meresap. Lap dengan tisu sisa darah yang tersisa / jangan dicuci.,Lelehkan margarin, angkat. Kemudian masukan cincangan bawang putih dan semua bumbu marinasi, aduk rata. Sisihkan.,Taruh paha kambing di alfoil, lalu lumuri dengan bumbu marinasi bolak-balik hingga rata ke seluruh permukaan paha kambing. Lalu bungkus sampai tiga lapis. Taruh di loyang. Simpan semalaman di kulkas.,Keluarkan dari kulkas, panggang di oven suhu 250°C api atas bawah, selama 60 menit. Lalu keluarkan dan buka alfoilnya. Panggang lagi dengan suhu 150°C selama 40 menit. Setelahnya biarkan di dalam oven sampai hangat.,Keluarkan dari oven, iris / potong-potong dagingnya. Siap disajikan dengan nasi kebuli dan acar. Yumm! 😋","[{""Reaksi"":""😋\n 6""},{""Reaksi"":""❤️\n 10""},{""Reaksi"":""👏\n 6""}]","['paha', 'kambing', 'marinasi', 'margarin', 'cair', 'bawang', 'putih', 'bubuk', 'bawang', 'putih', 'merica', 'bubuk', 'bubuk', 'kari', 'garam', 'rosemary', 'kering', 'alumunium', 'foil']"
Acar Ikan Nila,https://img-global.cpcdn.com/recipes/e76f9b614c118c43/680x482cq70/acar-ikan-nila-foto-resep-utama.jpg,"1 1/2 Ekor Ikan Nila,1/2 Buah timun segar,1/2 Buah wortel,2 Lembar daun salam,1 batang serai geprek,4 Buah cabe rawit setan (opsional),1/2 Buah Tomat merah,secukupnya Air,secukupnya Garam,secukupnya Kaldu bubuk,Bumbu Halus,4 Siung bawang merah,4 Siung bawang putih,1 Butir kemiri ukuran sedang,1 Ruas kunyit bakar (saya pakai kunyit bubuk)","Bersihkan ikan nila, kucurkan perasan air jeruk nipis. Saya simpan di chiller semalam.,Apabila mau digoreng, taburkan garam secukupnya saja. Tunggu 15 menit.,Goreng ikan di wajan atau boleh di air fryer, kalau saya di air fryer selama 20 menit dalam suhu 200°.,Wortel dan timun di iris seperti korek api, dan untuk cabe rawit nya bebas mau dimasukan utuh atau di potong-potong.

Tomat dipotong biasa aja.,Tumis bumbu halus, tambahkan serai geprek dan daun salam. Tumis hingga harum dan matang.,Tambahkan air putih setengah gelas saja, karena ikan saya pakai sedikit. Kalau sudah mendidih, masukan irisan wortel dan timunnya, tambahkan garam dan kaldu bubuk, aduk hingga merata.,Masukan ikan yang sudah goreng. Lalu aduk hingga merata. Dan tutup wajan supaya bumbu lebih meresap.,Hidangkan, jika sudah dirasa matang dan air menyusut.","[{""Reaksi"":""😋\n 3""},{""Reaksi"":""❤️\n 8""},{""Reaksi"":""👏\n 3""}]","['ekor', 'ikan', 'nila', 'timun', 'segar', 'wortel', 'salam', 'serai', 'cabe', 'rawit', 'setan', 'tomat', 'merahsecukupnya', 'airsecukupnya', 'garamsecukupnya', 'kaldu', 'bubukbumbu', 'bawang', 'merah', 'bawang', 'putih', 'butir', 'kemiri', 'kunyit', 'bakar', 'kunyit', 'bubuk']"
Gulai Ayam Ala RM Padang,https://img-global.cpcdn.com/recipes/bed6a3f1bf34cb32/680x482cq70/gulai-ayam-ala-rm-padang-foto-resep-utama.jpg,"1 1/2 kg ayam,1 kg kentang potong dadu besar,Bumbu Kering :,6 butir kapulaga,1/2 sdt adas manis,1/2 sdt merica,2 sdt ketumbar,4 btr Cabai jawa,1/2 sdt jinten,1/2 sdt klebet,1/4 butir pala,5 btr cengkeh,1 cm kayu manis,Bumbu halus :,125 cabai keriting,6 siung bawang merah,3 siung bawang putih,2 ruas jahe,1.5 ruas kunyit,5 butit kemiri,30 butir kacang tanah,Bumbu cemplung:,5 lbr daun jeruk,1 lbr daun kunyit,1 lbr daun salam,2 btg sereh dikeprek,Bahan lain :,100 gr minyak goreng,1/3 butir jeruk nipis,1 sdt susu kental manis,1 sdm kaldu bubuk,secukupnya Garam dan penyedap rasa,300 ml santan kental,1.5 liter air","Hancur kasar kemiri, sangrai bersama kacang tanah,Setelah kacang matang, masukan bumbu kering. Sangrai kembali 3-5 menit (yang wajib disangrai kacang dan kemiri). Total waktu menyangrai -/+ 8 menit,Haluskan bumbu yang sudah disangrai berserta bumbu halus, gunalan blender dan beri sedikit air.,Tumis bumbu, beri sereh, daun salam, daun jeruk dan daun kunyit,Setelah harum masukan santan kental, tambahkan air.,Setelah mendidih masukan ayam. Ketika ayam mulai matang masukan kentang,Beri kaldu ayam bubuk, penyedap rasa dan garam. Tunggu -/+ 30 menit,Masukan perasan jeruk nipis dsn susu kental manis,Aduk rata dan sajjkan","[{""Reaksi"":""😋\n 4""},{""Reaksi"":""❤️\n 6""},{""Reaksi"":""👏\n 4""}]","['ayam', 'kentang', 'besarbumbu', 'kering', 'butir', 'kapulaga', 'adas', 'manis', 'merica', 'ketumbar', 'btr', 'cabai', 'jawa', 'jinten', 'klebet', 'butir', 'pala', 'btr', 'cengkeh', 'cm', 'kayu', 'manisbumbu', 'cabai', 'keriting', 'bawang', 'merah', 'bawang', 'putih', 'jahe', 'kunyit', 'butit', 'kemiri', 'butir', 'kacang', 'tanahbumbu', 'cemplung', 'jeruk', 'kunyit', 'salam', 'btg', 'sereh', 'dikeprekbahan', 'minyak', 'goreng', 'butir', 'jeruk', 'nipis', 'susu', 'kental', 'manis', 'kaldu', 'bubuksecukupnya', 'garam', 'sedap', 'santan', 'kental', 'liter', 'air']"
429. Ayam Goreng & Tempe Ungkep SambeL Tomat,https://img-global.cpcdn.com/recipes/268f62e9ab487f68/680x482cq70/429-ayam-goreng-tempe-ungkep-sambel-tomat-foto-resep-utama.jpg,"✓ Ayam Ungkep Goreng :,500 gr Ayam Potong,1 sdt Garam,1/2 sdt KaLdu Bubuk / Penyedap,1-2 siung Bawang Putih, haLuskan,3-4 sdm Tepung Bumbu Crispy/Kriuk/JempoL,✓ Tempe Ungkep:,2 papan Tempe (@2000),3-4 sdm Kecap Manis,1 keping bulat GuLa Merah,✓ SambeL Tomat (kalikan 2) :
 
 

 428. Mujaer SambeL Tomat","Cuci bersih ayam, rebus dng air secukupnya, tambahkan bawang putih halus, garam & kaldu bubuk... Rebus +/- 10 menit,✓ boleh diblansir dulu = masukkan ayam di air mendidih 1-2mnt lalu buang air rebusan pertama... Baru direbus lagi dng bumbu di atas,Tiriskan ayam, campur dng tepung crispy, lalu goreng asal tepung kering saja,Potong tempe kotak agak besar, rebus dng kuah ungkepan ayam.... Masukkan kecap & 1 keping gula merah, rebus +/-15mnt,Tiriskan lalu goreng,CocoL dng sambeL Tomat","[{""Reaksi"":""😋\n 8""},{""Reaksi"":""❤️\n 15""},{""Reaksi"":""👏\n 5""}]","['ayam', 'goreng', 'ayam', 'garam', 'kaldu', 'bubuk', 'sedap', 'bawang', 'putih', 'halus', 'tepung', 'crispykriukjempol', 'tempe', 'papan', 'tempe', 'kecap', 'manis', 'keping', 'bulat', 'gula', 'merah', 'sambel', 'tomat', 'kali', 'mujaer', 'sambel', 'tomat']"
Bubur Ayam Oat Kuah Kuning,https://img-global.cpcdn.com/recipes/ff2dd9ce37ee5f58/680x482cq70/bubur-ayam-oat-kuah-kuning-foto-resep-utama.jpg,"💛 BUBUR OATS,4 sdm oats (Boleh memakai oats instan bungkus merah atau biru, kali ini saya memakai rolled oats),1/2 gelas air putih,1,5 sdm tepung beras,💛 BUMBU HALUS,2 siung bawang putih,5 siung bawang merah,3 cm kunyit,1 cm jahe,1 butir kemiri,💛 BAHAN LAIN,1 potong dada ayam (boleh ditambah tulang ayam untuk rasa yang lebih kuat),2 sdm fiber creme,2 gelas atau secukupnya air,Secukupnya garam, gula pasir,💛 BAHAN PELENGKAP,2 batang daun bawang, iris,Sambal,Kerupuk,Bawang goreng","Campurkan semua bahan oats lalu masak selama 5 menit. Boleh tambahkan sedikit garam untuk menambah sedikit rasa. (TIPS: tepung beras dapat mengikat oats untuk membuat teksturnya menjadi bubur. Tips ini saya dapatkan dari Chef Devina Hermawan melalui channel youtubenya 😁).,Blender bumbu halus.,Tumis bumbu halus hingga wangi. Lalu masukkan ayam. Tuangkan air. Tambahkan fiber creme, secukunya garam, gula pasir, kaldu bubuk bila perlu. Koreksi rasa sesuai selera. Masak hingga ayam matang kemudian suwir dan sisihkan.,Sajikan bubur oats, dengan suwiran ayam, dan juga bahan pelengkap lain yaitu daun bawang, bawang merah goreng, sambal, dan juga kerupuk. Bubur ayam lebih sehat, tapi tidak kalah lezat! Semoga bermanfaat! 🤗💖,Resep bubur ayam (versi bukan oats) kuah kuning lain, yang alhamdulillah sudah beberapa kali direcook oleh teman-teman Cookpad lain, bisa cek di sini ya, Moms ➡️","[{""Reaksi"":""😋\n 7""},{""Reaksi"":""❤️\n 23""},{""Reaksi"":""👏\n 11""}]","['bubur', 'oats', 'oats', 'pakai', 'oats', 'merah', 'biru', 'pakai', 'rolled', 'oats', 'gelas', 'air', 'putih', 'tepung', 'beras', 'bawang', 'putih', 'bawang', 'merah', 'cm', 'kunyit', 'cm', 'jahe', 'butir', 'kemiri', 'dada', 'ayam', 'tambah', 'tulang', 'ayam', 'kuat', 'fiber', 'creme', 'gelas', 'airsecukupnya', 'garam', 'gula', 'pasir', 'lengkap', 'bawang', 'irissambalkerupukbawang', 'goreng']"
Oseng Kikil Kambing,https://img-global.cpcdn.com/recipes/b6d9ba95fe07b7b8/680x482cq70/oseng-kikil-kambing-foto-resep-utama.jpg,"🍀 Bahan Rebus,500 gram kikil kambing,secukupnya Air,1 SDM garam,2 lembar Daun Salam,1 batang Sereh,1 ruas Jahe,🍀 Bahan ulek,3 siung Bawang putih,5 buah Cabai rawit merah,2 butir Kemiri,iris 🍀 Bumbu,8 siung Bawang Merah,5 buah Cabai merah keriting,Garam,Kaldu bubuk,Gula pasir,Air,Daun Kari","Siapkan semua bahan yang diperlukan.

Ulek bawang putih,cabai rawit dan kemiri.

Lalu rajang bawang merah dan cabai merah keriting,Cuci bersih kikil. Lalu rebus dengan ditambahkan garam,daun salam, jahe dan sereh,Tumis bawang merah hingga harum. Lalu masukkan ulekkan bawang putih cabai rawit dan kemiri. Lalu irisan cabai merah keriting., Masukkan daun kari.,Masukkan kikil kambing, garam, gula pasir kaldu bubuk air serta saos tiram. Tes rasa. Mendidih

Matikan","[{""Reaksi"":""😋\n 11""},{""Reaksi"":""❤️\n 22""},{""Reaksi"":""👏\n 12""}]","['kikil', 'kambingsecukupnya', 'air', 'garam', 'salam', 'sereh', 'jahe', 'ulek', 'bawang', 'putih', 'cabai', 'rawit', 'merah', 'butir', 'kemiriiris', 'bawang', 'merah', 'cabai', 'merah', 'keritinggaramkaldu', 'bubukgula', 'pasirairdaun', 'kari']"
Sambal ikan besek,https://img-global.cpcdn.com/recipes/c78635b1eeb03de5/680x482cq70/sambal-ikan-besek-foto-resep-utama.jpg,"2 Besek Ikan,1 Buah Wortel,5 Siung Bawang Merah,3 Siung Bawang Putih,10 Cabai Rawit Merah,5 Cabai Kriting Besar Merah,1/2 Sdt Garam,1 Sdm Gula Pasir,Secukupnya Royco Kaldu Ayam (Boleh ganti Totole Kaldu Jamur),250 ml Minyak Goreng untuk menggoreng Ikan,5 Sdm untuk menumis bumbu","Pisahkan Daging Ikan dari Kepala, Tulang dan Kotoran (Cuci Bersih),Panaskan 250 ml minyak, jika sudah panas goreng ikan hingga kuning kecoklatan dg api sedang. Lalu tiriskan,Kupas dan Cuci lalu potong Tomat, Bawang Merah, Bawang Putih, Cabai Merah dan Cabai Rawit menjadi 2/3 bagian,Panaskan 5 sdm minyak, masukan Tomat, Bawang Merah, Bawang Putih, Cabai Merah dan Cabai Rawit (Tumis hingga layu),Tiriskan Bumbu yang sudah digoreng tadi, kemudian ulek (mending di blender biar gak capek😁),Masukan Bumbu yg sudah halus kedalam wajan bekas menumis tadi. Tumis dan Beri 1/2 sdt garam, 1 sdm Gula, Secukupnya Royco (Tes Rasa). Dan Masukan Ikan, lalu campur hingga rata. Kemudian Sajikan🤤","[{""Reaksi"":""😋\n 4""},{""Reaksi"":""❤️\n 2""},{""Reaksi"":""👏\n 2""}]","['besek', 'ikan', 'wortel', 'bawang', 'merah', 'bawang', 'putih', 'cabai', 'rawit', 'merah', 'cabai', 'kriting', 'merah', 'garam', 'gula', 'pasirsecukupnya', 'royco', 'kaldu', 'ayam', 'ganti', 'totole', 'kaldu', 'jamur', 'minyak', 'goreng', 'goreng', 'ikan', 'tum']"
Mie Gomak Udang Kuah Lontong,https://img-global.cpcdn.com/recipes/5bf2052faf4cd07d/680x482cq70/mie-gomak-udang-kuah-lontong-foto-resep-utama.jpg,"1 Bks (500 gr) mie lidi kering,500 gr udang (opt),1 ikat sawi caisim, potong²,Bumbu-bumbu:,2 bulat bamer besar,5 siung baput,5 buah cabe merah keriting,1/2 st lada bubuk,3 St garam halus,Tambahan:,2 ikat daun seledri, cincang kasar,Krupuk merah, hancurkan kasar,Kuah sayur lontong bersantan,1/2 panci air utk merebus + 2 sm minyak goreng","Didihkan air beri garam dan minyak goreng, aduk lalu masukkan mie lidi kering. Masak hingga tanak (ambil seujung mie lalu test kematangannya), tiriskan sambil dicuci kembali dg air dingin (Krn mie nya berlendir ya Moms, dicuci biar nanti terpisah² dan tdk lengket).,Chopper semua bumbu (bawang²an dan cabe), lalu tumis hingga harum,Masukkan udang/ayam cincang, masak hingga matang+ merica dan sedikit garam, aduk rata. Lalu tambahkan sayur aduk-aduk masak hg layu. Lalu masukkan mie, aduk rata dg api sedang hingga tercampur rata. Test rasa, matikan api.,Taburi krupuk merah yg sudah dikeprek kasar dan cincangan daun seledri, aduk rata. Siap disajikan dg kuah sayur lontong. Jika suka tanpa kuah juga sudah enak disantap 🤤👍","[{""Reaksi"":""😋\n 4""},{""Reaksi"":""❤️\n 20""},{""Reaksi"":""👏\n 6""}]","['bks', 'mie', 'lidi', 'kering', 'udang', 'opt', 'sawi', 'caisim', '', 'bumbubumbu', 'bulat', 'bamer', 'baput', 'cabe', 'merah', 'keriting', 'st', 'lada', 'bubuk', 'st', 'garam', 'halustambahan', 'seledri', 'kasarkrupuk', 'merah', 'hancur', 'kasarkuah', 'sayur', 'lontong', 'santan', 'panci', 'air', 'rebus', 'sm', 'minyak', 'goreng']"
Indomie Goreng ala BunDa 🤤,https://img-global.cpcdn.com/recipes/5406c78881a7bee9/680x482cq70/indomie-goreng-ala-bunda-foto-resep-utama.jpg,"1 Bks mie goreng instan keriting,1 genggam caisim, rebus,1 butir telur ceplok air,2 sm minyak sayur,Tambahan :,Krupuk udang, saus sambal, bawang goreng utk taburan","Didihkan air + minyak sayur, lalu masukkan mie instan beserta potongan caisim, stlh matang angkat, tiriskan.,Taruh mie diwadah mangkok lalu beri bumbu instan dan aduk rata, + 2 sm air rebusannya, aduk kembali biar mie agak lembut. Tata dipiring, taburi bawang goreng dan saus sambal. Beri telur ceplok air diatasnya. Selamat menikmati 🤤","[{""Reaksi"":""😋\n 3""},{""Reaksi"":""❤️\n 12""},{""Reaksi"":""👏\n 3""}]","['bks', 'mie', 'goreng', 'keriting', 'genggam', 'caisim', 'butir', 'telur', 'ceplok', 'air', 'sm', 'minyak', 'sayurtambahan', 'krupuk', 'udang', 'saus', 'sambal', 'bawang', 'goreng', 'tabur']"
