web-scraper-order,web-scraper-start-url,produk,produk-href,Nama,Gambar-src,Bahan,Cara Buat,Reaksi,Produk,Produk-href
1684325647-1,https://cookpad.com/id/cari/ayam?event=search.typed_query&order=recent,Dimsum ayam,https://cookpad.com/id/resep/16911986-dimsum-ayam,Dimsum ayam,https://img-global.cpcdn.com/recipes/0f764ec838548f6b/680x482cq70/dimsum-ayam-foto-resep-utama.jpg,"[{""Bahan"":""250 gr dada ayam""},{""Bahan"":""12 lembar kulit dimsum (sesuai dgn isinya)""},{""Bahan"":""4 siung bawang putih goreng""},{""Bahan"":""1/4 sdt lada""},{""Bahan"":""1/2 sdt garam""},{""Bahan"":""1 sdm saus tiram""},{""Bahan"":""3 kotak kecil es batu""},{""Bahan"":""1 butir putih telur (resep asli 2 butir)""},{""Bahan"":""3 sdm tepung tapioka""},{""Bahan"":""Minyak goreng (untuk olesan)""},{""Bahan"":""Air untuk ngukus""},{""Bahan"":""1 buah Wartel parut""},{""Bahan"":""Secukupnya kuah sarden (untuk cocolan)""}]","[{""Cara Buat"":""Siapkan semua bahannya.\n\nPisahkan putih telur dan kuning telur\n\nPotong kecil-kecil ayam agar mudah di hancur saat diblender. \n\nParut wartel""},{""Cara Buat"":""Potong kecil2 daging ayam, masukan baput, lada, garam, es batu, saus tiram, putih telur lalu haluskan dengan diblender. Blender sampai halus dan adonan tercampur rata.""},{""Cara Buat"":""Siapkan air, masukan kulit pangsit di air agar mudah dibentuk taburi parutan wortel.""},{""Cara Buat"":""Bisa di simpan dalam freezer atau langsung kukus. \n\nOlesi loyang dengan minyak goreng lalu susun dimsum di loyangnya. \n\nKukus selama 25 menit""},{""Cara Buat"":""Keluarkan dimsum dari kukusan lalu sajikan di piring saji ditemani dengan saos (kalo aku sambal sarden 🤭). Taraaaaa dimsumnya sudah jdi dan siap disantap\n\nSelamat mencoba 🤗""}]","[{""Reaksi"":""😋\n 3""},{""Reaksi"":""❤️\n 9""},{""Reaksi"":""👏\n 2""}]",,
1684325754-2,https://cookpad.com/id/cari/ayam?event=search.typed_query&order=recent,351. Grill Chicken Paprika,https://cookpad.com/id/resep/16933108-351-grill-chicken-paprika,351. Grill Chicken Paprika,https://img-global.cpcdn.com/recipes/b6513fab0bf34153/680x482cq70/351-grill-chicken-paprika-foto-resep-utama.jpg,"[{""Bahan"":""Kentang Panggang liat di resep\n \n \n\n 350. Grill Chicken Saos BBQ""},{""Bahan"":""Sayuran tumis liat di\n \n \n\n 350. Grill Chicken Saos BBQ""},{""Bahan"":""Bahan Marinasi Ayam: (minimal 3 jam)""},{""Bahan"":""3 bh paha atas uk. Agak besar""},{""Bahan"":""3 sdm paprika bubuk""},{""Bahan"":""4 sdm pasta tomat""},{""Bahan"":""2 sdm bumbu dasar putih (bwg merah&bwg putih)""},{""Bahan"":""1 sdt lada bubuk""},{""Bahan"":""2 sdt garam""},{""Bahan"":""1 sdt kaldu bubuk""},{""Bahan"":""Segenggam thym cincang halus (saya pakai lemon thym)""}]","[{""Cara Buat"":""Marinasi ayam bersama bumbu minimal 3 jam supaya bumbu meresap. Bisa potong sedikit ayam dibagian atas supaya bumbunya masuk.""},{""Cara Buat"":""Panaskan oven 200 derajat.""},{""Cara Buat"":""Siapkan wadah untuk taruh kentang & ayam sekaligus.""},{""Cara Buat"":""Tata kentang yang akan dipanggang yang udah diberi bumbu bersama ayam yang sudah dimarinasi. (Ayam tidak perlu diberi olive oil karna kulit akan mengeluarkan minyak).""},{""Cara Buat"":""Panggang selama 40 menit api atas bawah lalu 5-7 menit api atas atau hingga ayam matang dan bagian kulit agak garing.""},{""Cara Buat"":""Sajikan selagi hangat.""}]","[{""Reaksi"":""😋\n 2""},{""Reaksi"":""❤️\n 2""},{""Reaksi"":""👏\n 1""}]",,
1684325781-3,https://cookpad.com/id/cari/ayam?event=search.typed_query&order=recent,Kepala Ayam Goreng Sereh ala rumah,https://cookpad.com/id/resep/16605194-kepala-ayam-goreng-sereh-ala-rumah,Kepala Ayam Goreng Sereh ala rumah,https://img-global.cpcdn.com/recipes/29fb6c3477e886b6/680x482cq70/kepala-ayam-goreng-sereh-ala-rumah-foto-resep-utama.jpg,"[{""Bahan"":""7 buah Kepala Ayam""},{""Bahan"":""secukupnya Minyak Goreng""},{""Bahan"":""secukupnya Air""},{""Bahan"":""Bumbu halus""},{""Bahan"":""3 siung Bawang Putih""},{""Bahan"":""2 siung Bawang merah""},{""Bahan"":""1/2 sendok teh Ketumbar""},{""Bahan"":""1/4 sendok teh Merica bubuk""},{""Bahan"":""2 jari Jahe""},{""Bahan"":""2 ruas Kunyit""},{""Bahan"":""4 batang Sereh ambil yang bagian putihnya (dihaluskan /iris tipis/parut)""},{""Bahan"":""5 lembar Daun Salam""},{""Bahan"":""2 lembar Daun Jeruk Purut""},{""Bahan"":""secukupnya Garam""},{""Bahan"":""Kaldu bubuk (optional)""}]","[{""Cara Buat"":""Bersihkan kepala ayam, cuci bersih, buang mulutnya (potong cucuknya) kemudian dibelah tapi tidak sampai putus. Rebus di air mendidih sebentar dan dibuang airnya. Sisihkan.""},{""Cara Buat"":""Haluskan bumbu bumbu (duo bawang.ketumbar,kunyit,jahe) uleg atau blender. Sereh di haluskan (iris tipis atau parut) atau d. Sisihkan""},{""Cara Buat"":""Marinasi kepala ayam dengan bumbu halus, daun salam, sereh, aduk rata diamkan 10 menit, kemudian direbus lagi dengan sedikit air agar bumbu meresap. Rebus dengan api kecil sedang hingga air menyusut.""},{""Cara Buat"":""Selanjutnya siap digoreng, goreng dalam minyak panas, api sedang. Goreng kepala ayam hingga kuning emas kecoklatan. Selesai...alhamdulillah siap disajikan. Selamat mencoba semoga bermanfaat.""},{""Cara Buat"":""Sajikan dengan sambal sesuai selera...Alhamdulillah gurih dan sedep 🤗""}]","[{""Reaksi"":""😋\n 3""},{""Reaksi"":""❤️\n 7""},{""Reaksi"":""👏\n 1""}]",,
1684325807-4,https://cookpad.com/id/cari/ayam?event=search.typed_query&order=recent,221. MIE Ayam Jamur,https://cookpad.com/id/resep/16695680-221-mie-ayam-jamur,221. MIE Ayam Jamur,https://img-global.cpcdn.com/recipes/031bc77ebf813402/680x482cq70/221-mie-ayam-jamur-foto-resep-utama.jpg,"[{""Bahan"":""500 gram mie ayam yang tipis/mie wonton""},{""Bahan"":""Air untuk merebus""},{""Bahan"":""secukupnya Minyak wijen""},{""Bahan"":""Topping/isian :""},{""Bahan"":""Bawang goreng (optional)""},{""Bahan"":""300 gram paha ayam, potong kotak2 kecil""},{""Bahan"":""4 jamur kancing segar, iris tipis""},{""Bahan"":""4 siung bawang putih, cincang halus""},{""Bahan"":""1 batang daun bawang, iris serong""},{""Bahan"":""2 cm jahe, potong korek api""},{""Bahan"":""Kaldu ayam, garam dan merica""},{""Bahan"":""1 sdm saus tiram""},{""Bahan"":""1 sdm kecap asin""},{""Bahan"":""2 sdm kecap manis""},{""Bahan"":""150-200 ml air""},{""Bahan"":""Bahan marinasi ayam :""},{""Bahan"":""1 sdm saus tiram""},{""Bahan"":""1 sdm shaoxing wine (optional)""},{""Bahan"":""1 sdm kecap asin""},{""Bahan"":""Pelengkap :""},{""Bahan"":""Pangsit goreng""}]","[{""Cara Buat"":""Marinasi ayam selama 15 menit, sambil menyiapkan bahan lain.""},{""Cara Buat"":""Tumis bawang putih, jahe dan daun bawang bagian putih sampai harum. Masukkan ayam, tumis sampai berubah warna.""},{""Cara Buat"":""Masukkan jamur dan semua saus dan bumbu, aduk sebentar kemudian tuang air, lalu biarkan sampai mendidih sekitar 10 menitan dengan api kecil-sedang sampai meresap. Matikan api.""},{""Cara Buat"":""Ambil sedikit air tumisan ayam dan 1/2 sdt minyak wijen taruh di mangkuk.""},{""Cara Buat"":""Rebus mie sebentar saja, supaya nggak terlalu benyek. \n\nAngkat dan saring.""},{""Cara Buat"":""Masukkan mie kedalam mangkuk, aduk rata dengan bumbu tumisan, beri topping.""},{""Cara Buat"":""Pelengkap : goreng kulit pangsit sampai kecoklatan.""},{""Cara Buat"":""Sajikan bersama Mie Ayam Jamur 😍""}]","[{""Reaksi"":""😋\n 3""},{""Reaksi"":""❤️\n 5""},{""Reaksi"":""👏\n 1""}]",,
1684325833-5,https://cookpad.com/id/cari/ayam?event=search.typed_query&order=recent,Ayam asam manis,https://cookpad.com/id/resep/10442794-ayam-asam-manis,Ayam asam manis,https://img-global.cpcdn.com/recipes/80120fda1562b57d/680x482cq70/ayam-asam-manis-foto-resep-utama.jpg,"[{""Bahan"":""1/2 kg ayam filet""},{""Bahan"":""Tepung serbaguna untuk ayam goreng""},{""Bahan"":""5 siung bawang putih (di cincang)""},{""Bahan"":""1 batang daun bawang""},{""Bahan"":""5 buah cabe merah keriting""},{""Bahan"":""1 buah bawang bombai""},{""Bahan"":""2 buah wortel (potong memanjang)""},{""Bahan"":""1 buah jagung diambil bijinya saja""},{""Bahan"":""secukupnya Garam""},{""Bahan"":""secukupnya Gula pasir""},{""Bahan"":""200 ml air""},{""Bahan"":""1/2 sdt Kaldu ayam""}]","[{""Cara Buat"":""Pertama potong ayam tipis-tipis""},{""Cara Buat"":""Campur 1 sendok tepung serbaguna dengan 4 sendok air aduk sampai rata""},{""Cara Buat"":""Masukan 1 irisan ayam kedalam tepung serbaguna bolak balik sampai merata""},{""Cara Buat"":""Setelah itu masukan ayam kedalam campuran air yang sudah di campur tepung bolak balik sampai rata, setelah itu masukan kembali kedalam tepung yang kering sampai rata kembali lakukan kembali sampai ayam yang sudah dipotong habis""},{""Cara Buat"":""Setelah itu panaskan minyak goreng, goreng ayam sampai warna keemasan/ kering kemudian angkat lalu tiriskan""},{""Cara Buat"":""Untuk membuat sausnya masukan 3 sendok minyak kedalam wajan setelah panas masukan bawang bombai sampai harum kemudian masukan bawang putih aduk aduk sampai bawang putih dan irisan cabai keriting hingga matang""},{""Cara Buat"":""Masukan 200ml air kedalam wajan tunggu hingga mendidih setelah mendidih masukan jagung dan wortel, tunggu hingga empuk masukan saus tomat garam, gula, dan bumbu kaldu aduk hingga rata""},{""Cara Buat"":""Setelah itu masukan irisan daun bawang aduk2 hingga layu""},{""Cara Buat"":""Setelah semua tercampur masukan ayam yang sudah di goreng aduk aduk hingga rata lalu angkat,,,""}]","[{""Reaksi"":""😋\n 1""},{""Reaksi"":""❤️\n 4""},{""Reaksi"":""👏\n 1""}]",,
1684325859-6,https://cookpad.com/id/cari/ayam?event=search.typed_query&order=recent,Ayam Tepung Asam Manis,https://cookpad.com/id/resep/16934236-ayam-tepung-asam-manis,Ayam Tepung Asam Manis,https://img-global.cpcdn.com/recipes/703c296643d8adf2/680x482cq70/ayam-tepung-asam-manis-foto-resep-utama.jpg,"[{""Bahan"":""❣️Bumbu ayam tepung""},{""Bahan"":""1 ekor ayam potong""},{""Bahan"":""1 butir Telur""},{""Bahan"":""Secukupnya Tepung bumbu serbaguna""},{""Bahan"":""2 sdt Lada bubuk""},{""Bahan"":""2 sdt Penyedap rasa""},{""Bahan"":""❣️ Bumbu Iris""},{""Bahan"":""6 siung bawang putih (dicincang)""},{""Bahan"":""1/2 buah tomat (potong dadu)""},{""Bahan"":""1 batang daun bawang (diiris)""},{""Bahan"":""2 Cabai merah (diiris)""},{""Bahan"":""❣️Bahan saus asam manis""},{""Bahan"":""2 sdm mentega (untuk menumis)""},{""Bahan"":""4 sdm saus sambal""},{""Bahan"":""5 sdm saus tomat""},{""Bahan"":""Gula pasir (sesuai selera)""},{""Bahan"":""Garam halus (sesui selera)""},{""Bahan"":""1 sdr kecap asin""},{""Bahan"":""1 sdt saus tiram""},{""Bahan"":""1/2 sdt minyak wijen""},{""Bahan"":""1/2 sdm tepung maizena (larutkan dengan sedikit air?""},{""Bahan"":""250 ml air""}]","[{""Cara Buat"":""Cuci bersih ayam, setelah bersih potong kecil- kecil. \n\nJika sudah dipotong beri penyedap rasa, lada bubuk dan telur ayam aduk-aduk hingga tercampur merata""},{""Cara Buat"":""Siapkan tepung bumbu (sajiku), baluri ayam dengan tepung. Jika semua ayam sudah dibaluri masukkan kedalam kulkas selama 10 menit""},{""Cara Buat"":""Siapkan panci berisi minyak, goreng ayam sampai berwarna kuning keemasan dengan api kecil supaya ayam matang nya merata""},{""Cara Buat"":""Siapkan panci berisi mentega untuk menumis bumbu saus asam manis, tumis bawang putih dan cabai hingga mengeluarkan aroma wangi.""},{""Cara Buat"":""Masukkan saus tomat, saus sambal, saus tiram, kecap asin, minyak wijen, penyedap rasa, garam halus, gula pasir dan air setelah itu aduk sampai merata.""},{""Cara Buat"":""Masukkan ayam, tomat, daun bawang dan tepung maizena yang sudah dilarutkan, aduk sampai merata jika saus mulai mendidih matikan api. Jangan lupa koreksi rasa""},{""Cara Buat"":""Ayam tepung asam manis siap disajikan""}]","[{""Reaksi"":""😋\n 1""},{""Reaksi"":""❤️\n 5""},{""Reaksi"":""👏\n 1""}]",,
1684325885-7,https://cookpad.com/id/cari/ayam?event=search.typed_query&order=recent,Tumis Ayam Saus Bolognese,https://cookpad.com/id/resep/16934235-tumis-ayam-saus-bolognese,Tumis Ayam Saus Bolognese,https://img-global.cpcdn.com/recipes/21c9cfd3b9965610/680x482cq70/tumis-ayam-saus-bolognese-foto-resep-utama.jpg,"[{""Bahan"":""1 potong dada ayam (1/4 ekor) tanpa sayap, potong sesuai selera""},{""Bahan"":""12 batang buncis potong 2""},{""Bahan"":""1 batang wortel potong memanjang""},{""Bahan"":""2 Cabai keriting potong serong""},{""Bahan"":""3 siung bawang merah cincang (bisa bawang bombay)""},{""Bahan"":""2 siung bawang putih cincang""},{""Bahan"":""4 sdm saus bolognese""},{""Bahan"":""Secukupnya garam dan gula pasir""},{""Bahan"":""400 ml air""}]","[{""Cara Buat"":""Tumis bawang merah dan bawang putih hingga layu, masukkan Cabai keriting""},{""Cara Buat"":""Masukkan ayam, masak hingga berubah warna""},{""Cara Buat"":""Tuang air, masukkan wortel, masak hingga wortel setengah matang""},{""Cara Buat"":""Tambahkan saus bolognese, garam dan gula pasir aduk rata, buncis saya masukkan terakhir agar masih crunchy""},{""Cara Buat"":""Setelah matang koreksi rasa matikan api""}]","[{""Reaksi"":""😋\n 5""},{""Reaksi"":""❤️\n 12""},{""Reaksi"":""👏\n 3""}]",,
1684325912-8,https://cookpad.com/id/cari/ayam?event=search.typed_query&order=recent,Sate Maranggi Ayam,https://cookpad.com/id/resep/16934125-sate-maranggi-ayam,Sate Maranggi Ayam,https://img-global.cpcdn.com/recipes/76f206702694b483/680x482cq70/sate-maranggi-ayam-foto-resep-utama.jpg,"[{""Bahan"":""650 gr ayam fillet campur (saya pakai dada 250gr)""},{""Bahan"":""Bahan Marinasi (haluskan)""},{""Bahan"":""12 siung bawang merah""},{""Bahan"":""8 siung bawang putih""},{""Bahan"":""1 sdm ketumbar""},{""Bahan"":""6 butir kemiri""},{""Bahan"":""1 ruas lengkuas""},{""Bahan"":""Bahan tambahan marinasi""},{""Bahan"":""1 batang serai geprek""},{""Bahan"":""50 gr gula merah sisir""},{""Bahan"":""100 ml susu cair (saya pakai air putih)""},{""Bahan"":""7 sdm kecap manis""},{""Bahan"":""1/2 buah jeruk nipis peras""},{""Bahan"":""Secukupnya garam""},{""Bahan"":""Bahan Olesan (campur dg sisa bumbu marinasi)""},{""Bahan"":""1 sdm margarin cairkan""},{""Bahan"":""2 sdm kecap manis""},{""Bahan"":""Sambal Tomat""},{""Bahan"":""1 buah tomat, iris iris""},{""Bahan"":""7 buah cabai rawit merah""},{""Bahan"":""1 buah bawang merah ukuran besar / 2 buah ukuran kecil""},{""Bahan"":""Sedikit perasan jeruk nipis untuk aroma""},{""Bahan"":""Secukupnya garam, gula""}]","[{""Cara Buat"":""Potong ayam bentuk dadu, ukuran sesuai selera""},{""Cara Buat"":""Uleg atau haluskan bahan marinasi, tumis dengan sedikit minyak sampai wangi""},{""Cara Buat"":""Setelah itu masukkan bahan tambahan marinasi aduk aduk sampai tercampur""},{""Cara Buat"":""Setelah bumbu marinasi mengental, matikan kompor dan diamkan dulu sampai bumbu dingin / aga hangat""},{""Cara Buat"":""Setelah itu campurkan ke ayam dan aduk rata sampai bumbu menyelimuti ayam""},{""Cara Buat"":""Diamkan 1-2 jam atau semalaman agar bumbu meresap sempurna. Saya marinasi sekitar 3 jam""},{""Cara Buat"":""Setelah daging di marinasi, tusuk daging dengan tusuk sate. Saya 4 potong per tusuk.""},{""Cara Buat"":""Untuk bumbu oles pakai sisa bumbu marinasi yang mengendap, tambahkan bahan margarin yang sudah dilelehkan dan kecap manis.""},{""Cara Buat"":""Jika sudah, panaskan panggangan / teflon lalu panggang sate sampai coklat matang / aga hangus saat dibalik lumuri dengan bumbu oles, lalu panggang lagi sampai matang""},{""Cara Buat"":""Untuk sambal tomat, iris tipis tomat.""},{""Cara Buat"":""Uleg bawang merah dan capai rawit, lalu masukan tomat iris uleg kasar.""},{""Cara Buat"":""Beri garam gula dan perasan jeruk nipis lalu aduk""},{""Cara Buat"":""Sajikan sate dengan sambal tomat dijamin segar dan bikin ketagihan""},{""Cara Buat"":""Selamat mencoba""}]","[{""Reaksi"":""😋\n 1""},{""Reaksi"":""❤️\n 2""},{""Reaksi"":""👏\n 1""}]",,
1684325939-9,https://cookpad.com/id/cari/ayam?event=search.typed_query&order=recent,Sayap ayam pedas gurih,https://cookpad.com/id/resep/16934294-sayap-ayam-pedas-gurih,Sayap ayam pedas gurih,https://img-global.cpcdn.com/recipes/daf0b3faf26d01cb/680x482cq70/sayap-ayam-pedas-gurih-foto-resep-utama.jpg,"[{""Bahan"":""5 sayap ayam""},{""Bahan"":""5 siung bawang merah""},{""Bahan"":""2 siung bawang putih""},{""Bahan"":""5 buah Cabai rawit""},{""Bahan"":""1 sendok makan kecap manis""},{""Bahan"":""1 sendok makan saos""},{""Bahan"":""Secukupnya penyedap rasa""},{""Bahan"":""Secukupnya garam""}]","[{""Cara Buat"":""Ungkep ayam dengan bumbu jadi (saya beli dipasar)""},{""Cara Buat"":""Haluskan semua bahan kecuali sayap ayam, saos, kecap""},{""Cara Buat"":""Masak bumbu dengan ninyak goreng sedikit saja""},{""Cara Buat"":""Masukkan sayap ayam""},{""Cara Buat"":""Masukkan kecap dan saos""},{""Cara Buat"":""Siap dhidangkan dan beri toping bawang daun""}]","[{""Reaksi"":""😋\n 2""},{""Reaksi"":""❤️\n 2""},{""Reaksi"":""👏\n 2""}]",,
1684325965-10,https://cookpad.com/id/cari/ayam?event=search.typed_query&order=recent,Sayap Ayam Goreng Bumbu Ingkung (118),https://cookpad.com/id/resep/16934325-sayap-ayam-goreng-bumbu-ingkung-118,Sayap Ayam Goreng Bumbu Ingkung (118),https://img-global.cpcdn.com/recipes/3dc9e90283c3dfb0/680x482cq70/sayap-ayam-goreng-bumbu-ingkung-118-foto-resep-utama.jpg,"[{""Bahan"":""1/2 kg sayap ayam (bersihkan)""},{""Bahan"":""250 ml santan kara (untuk ngungkep bumbu)""},{""Bahan"":""Minyak goreng untuk menumis""},{""Bahan"":""Bumbu Dihaluskan :""},{""Bahan"":""6 bawang merah""},{""Bahan"":""4 bawang putih""},{""Bahan"":""2 btr miri""},{""Bahan"":""1 ruas jari kunyit""},{""Bahan"":""1 ruas jari jahe""},{""Bahan"":""1 sdm tumbar""},{""Bahan"":""1 sdt gula""},{""Bahan"":""secukupnya Gula merah""},{""Bahan"":""1/2 ruas jari asem jawa""},{""Bahan"":""Kaldu ayam secukupnya (Royco)""},{""Bahan"":""Bumbu Cemplung :""},{""Bahan"":""2 ruas jari lengkuas (geprek)""},{""Bahan"":""3 lbr daun salam""},{""Bahan"":""2 lbr daun purut""},{""Bahan"":""2 btg sereh geprek (skip)""}]","[{""Cara Buat"":""🌼 Cuci bersih sayap ayam\n\n🌼 Siapkan bumbu yg mau dihaluskan\n\n🌼 Haluskan bumbu \n\n🌼 Lumuri sayap ayam dg bumbu halus""},{""Cara Buat"":""🌼 Siapkan wajan, beri minyak secukupnya untuk menumis bumbu \n\n🌼 Masukkan sayap ayam yg sdh dilumuri bumbu td, tumis dg api 🔥 kecil spy tdk gosong \n\n🌼 Tambahkan santan kara, masukkan santan dlm ungkepan bumbu ingkung""},{""Cara Buat"":""🌼 Ungkep bumbu slm 30 menit (tutup wajan dg tutup panci ato tutup kaca, biarkan bumbu meresap n ayamnya empuk)\n\n🌼 Sesekali balik sayap ayam nya spy tdk gosong\n\n🌼 Tunggu bbrp menit sampai bumbunta set""},{""Cara Buat"":""🌼 Kemudian goreng ayamnya sebentar saja lalu tiriskan \n\n🌼 Ayam goreng bumbu ingkung siiaap disajikan.... 😋👌""},{""Cara Buat"":""Ayamnya lbh enak dimakan bareng nasi hangat + kuah ungkepan ayam + lalapan sambel bawang..... (Lihat resep) ato sambel terasi \n\nheeeemmmmm yummy....\n\n😋👌""},{""Cara Buat"":""Met mencoba bunda.... 😉🙏""}]","[{""Reaksi"":""😋\n 1""},{""Reaksi"":""❤️\n 3""},{""Reaksi"":""👏\n 1""}]",,
